Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734172225,546559572,-9.894264933256091e-05,0.2561410038201196,1.4272999952004508,-0.7071067791067569,-1.2866027060656454e-05,-7.196152066917588e-05,0.707106779487563,0,-1,-1.1746083394825746e-05,-1.5708802382098597,-4.7985707418263246e-05,-1.570808235798971,-3.5587941304981996e-05,1.1984225238848012e-05
13,1734172225,562879085,-0.00017245028185138738,0.2561409980291709,1.4272999876912063,-0.7071067756383669,-5.069693473469916e-05,-8.458319649124775e-05,0.7071067798584708,0,-1,0.0,-1.5708802382098597,-9.566942323857575e-05,-1.570820156727926,-3.5587941304981996e-05,-1.1746083394825746e-05
29,1734172225,578453302,-0.00023522111237723957,0.25614100007746016,1.4272999780027535,-0.7071067726837558,-6.776370014460757e-05,-0.0001101240886025994,0.7071067778670554,0,-1,4.793690095539205e-05,-1.5708921591388147,-7.18275653284195e-05,-1.5708320776568812,-4.7985707418263246e-05,2.3968450477696024e-05
46,1734172225,594790220,-0.0001588055867624831,0.256140998192692,1.4272999899788745,-0.7071067756383669,-5.069693473469916e-05,-8.458319649124775e-05,0.7071067798584708,0,-1,0.0,-1.5708921591388147,-5.990663637334137e-05,-1.5708320776568812,-3.5587941304981996e-05,2.3968450477696024e-05
61,1734172225,610325336,-0.0001901147019193094,0.2561410001367529,1.4272999846610908,-0.7071067752718898,-5.490630105925072e-05,-8.883731988907594e-05,0.7071067793889533,0,-1,-2.366701234990387e-05,-1.5709040800677698,-8.374849428349762e-05,-1.5708444754229944,-2.366701234990387e-05,0.0
78,1734172225,627025842,-0.0001386327767466552,0.25614099525878425,1.4272999934334878,-0.7071067774552365,-3.799086695691439e-05,-5.492887557024254e-05,0.7071067817638177,0,-1,1.1984225238848012e-05,-1.570916000996725,-0.00010759035219365387,-1.5708320776568812,-1.1746083394825746e-05,-1.1746083394825746e-05
93,1734172225,642560243,-0.00017080498897380122,0.25614100224104175,1.427299988220837,-0.7071067776253072,-5.495105824439322e-05,-7.999189827677539e-05,0.7071067780880279,0,-1,-1.1746083394825746e-05,-1.5709040800677698,-3.5587941304981996e-05,-1.570808235798971,-3.5587941304981996e-05,-1.1746083394825746e-05
109,1734172225,658793449,-0.0001711403008648289,0.25614100221241654,1.4272999881925732,-0.7071067773056067,-4.67297146102174e-05,-8.019992427649254e-05,0.7071067789752726,0,-1,0.0,-1.5708921591388147,-4.7985707418263246e-05,-1.570808235798971,-4.7985707418263246e-05,2.3968450477696024e-05
125,1734172225,674530744,-0.0001572935577977384,0.25614100380261673,1.4272999893352063,-0.7071067753933524,-3.826090629780049e-05,-0.00010544859462244828,0.7071067780820036,0,-1,1.1984225238848012e-05,-1.5708802382098597,-7.18275653284195e-05,-1.5708563963519495,-4.7985707418263246e-05,-1.1746083394825746e-05
141,1734172225,690875291,-0.00015705799076722957,0.256140996445891,1.4272999901470582,-0.7071067751713651,-6.336336785075246e-05,-8.034613303427356e-05,0.7071067797980266,0,-1,1.1984225238848012e-05,-1.5708802382098597,-7.18275653284195e-05,-1.570808235798971,-4.7985707418263246e-05,1.1984225238848012e-05
157,1734172225,706824779,-0.00011640497629503428,0.2561410001367529,1.427299994632357,-0.7071067788304786,-1.678317175478061e-05,-5.071419074130715e-05,0.7071067815248138,0,-1,-1.1746083394825746e-05,-1.5708683172809046,-5.990663637334137e-05,-1.5708320776568812,-3.5587941304981996e-05,0.0
173,1734172225,722642660,-0.00017139322933267025,0.25614099810113156,1.4272999884572788,-0.7071067754511905,-5.509726704420925e-05,-8.055415900590474e-05,0.7071067801869378,0,-1,-2.366701234990387e-05,-1.5709040800677698,-5.990663637334137e-05,-1.5708320776568812,-3.5587941304981996e-05,0.0
189,1734172225,738944768,-0.00017745478330166142,0.25614099802848855,1.427299988191868,-0.7071067756729024,-5.4951058244393225e-05,-8.040795025302163e-05,0.7071067799932444,0,-1,2.3968450477696024e-05,-1.5709040800677698,-0.00010759035219365387,-1.570820156727926,-5.990663637334137e-05,0.0
205,1734172225,754731178,-0.00018877755337954976,0.25614100241958515,1.4272999849135248,-0.7071067758868163,-5.9542356527902416e-05,-9.301256612615776e-05,0.7071067778619592,0,-1,0.0,-1.5709040800677698,-7.18275653284195e-05,-1.5708320776568812,-3.5587941304981996e-05,0.0
221,1734172225,770855665,-0.0001338727256562395,0.25614099849149297,1.4272999933098656,-0.7071067772084668,-3.788429282048997e-05,-7.177055462382266e-05,0.7071067805074588,0,-1,1.1984225238848012e-05,-1.570916000996725,-2.366701234990387e-05,-1.570820156727926,-2.366701234990387e-05,0.0
237,1734172225,786696434,-0.00018314661915448468,0.256141004543022,1.4272999854367534,-0.7071067754706575,-5.495105826616806e-05,-0.00010561718199374987,0.707106776879476,0,-1,-1.1746083394825746e-05,-1.5709040800677698,-4.7985707418263246e-05,-1.5708563963519495,-3.5587941304981996e-05,2.3968450477696024e-05
253,1734172225,802250862,-0.0001983987706993008,0.256140995502782,1.4272999852684125,-0.7071067738047363,-8.055928196233514e-05,-8.877550267760637e-05,0.7071067784066065,0,-1,0.0,-1.5709040800677698,-1.1746083394825746e-05,-1.5708444754229944,-1.1746083394825746e-05,-1.1746083394825746e-05
269,1734172225,818495273,-0.00015258965465374513,0.25614100386759536,1.4272999901762193,-0.7071067774582038,-4.6690275970260196e-05,-8.858985533337853e-05,0.7071067778239222,0,-1,2.3968450477696024e-05,-1.5708802382098597,-4.7985707418263246e-05,-1.5708444754229944,-3.5587941304981996e-05,0.0
285,1734172225,834688186,-0.00013896161490608197,0.25614100018451835,1.427299992483176,-0.7071067791493283,-2.540350712192029e-05,-5.056798166209917e-05,0.7071067809592863,0,-1,1.1984225238848012e-05,-1.5708921591388147,-5.990663637334137e-05,-1.5708444754229944,-2.366701234990387e-05,-3.5587941304981996e-05
301,1734172225,850553274,-0.00023198376725718794,0.25614100297911424,1.4272999755590476,-0.7071067727594974,-0.00010164976609734618,-0.00011826123634356081,0.7071067724178954,0,-1,1.1984225238848012e-05,-1.5709040800677698,-7.18275653284195e-05,-1.5708320776568812,-3.5587941304981996e-05,-1.1746083394825746e-05
317,1734172225,866573810,-0.00016149687719771,0.25614100407840273,1.427299988023083,-0.7071067765513855,-5.511964565319844e-05,-9.701922496735518e-05,0.7071067770175898,0,-1,1.1984225238848012e-05,-1.5708921591388147,-8.374849428349762e-05,-1.570820156727926,-3.5587941304981996e-05,1.1984225238848012e-05
333,1734172225,882667064,-0.0001945205464779722,0.2561409979042979,1.4272999849539403,-0.7071067753564854,-7.615363115785684e-05,-8.44146090986635e-05,0.7071067778771117,0,-1,-2.366701234990387e-05,-1.570916000996725,-4.7985707418263246e-05,-1.5708320776568812,-4.7985707418263246e-05,-2.366701234990387e-05
349,1734172225,898574829,-0.00016869775021862904,0.2561410020766679,1.4272999883905162,-0.7071067767463343,-2.5420567232306878e-05,-7.608669092467055e-05,0.7071067810762529,0,-1,1.1984225238848012e-05,-1.5709040800677698,-4.7985707418263246e-05,-1.5708320776568812,-5.990663637334137e-05,-1.1746083394825746e-05
365,1734172225,914582967,-0.00014876443306413283,0.2561410000082124,1.427299990559576,-0.7071067759677013,-2.5527337380385315e-05,-7.59799207295223e-05,0.7071067818625202,0,-1,-1.1746083394825746e-05,-1.570916000996725,-1.1746083394825746e-05,-1.570796314870016,-4.7985707418263246e-05,0.0
381,1734172225,930562019,-0.0001290124198881707,0.256140998689362,1.4272999937690156,-0.7071067788925187,-4.232938232900951e-05,-5.0590360291004545e-05,0.7071067804038407,0,-1,2.3968450477696024e-05,-1.5708921591388147,-9.566942323857575e-05,-1.5708444754229944,-5.990663637334137e-05,1.1984225238848012e-05
397,1734172225,946547031,-0.000201461087862378,0.25614100256856703,1.4272999830951754,-0.7071067767161432,-5.09220208557916e-05,-8.43922304667436e-05,0.7071067787873382,0,-1,1.1984225238848012e-05,-1.5708921591388147,-7.18275653284195e-05,-1.570796314870016,-4.7985707418263246e-05,-2.366701234990387e-05
413,1734172225,962253093,-0.00018314661915448468,0.256141004543022,1.4272999854367534,-0.7071067757811924,-5.07981906883819e-05,-0.00010146431440681585,0.7071067774875751,0,-1,-1.1746083394825746e-05,-1.5708802382098597,-5.990663637334137e-05,-1.5708320776568812,-3.5587941304981996e-05,2.3968450477696024e-05
429,1734172225,978200674,-0.00019349806466192117,0.2561409975246324,1.4272999854626267,-0.7071067695182336,-6.3739981267151e-05,-0.0001225771769229258,0.7071067793576429,0,-1,1.1984225238848012e-05,-1.5708921591388147,-7.18275653284195e-05,-1.570820156727926,-3.5587941304981996e-05,1.1984225238848012e-05
445,1734172225,994426727,-0.0001853888027837816,0.2561410046764171,1.4272999849539403,-0.7071067776236983,-5.092202085032471e-05,-8.43922304830294e-05,0.7071067778797829,0,-1,-2.366701234990387e-05,-1.57092792192568,-5.990663637334137e-05,-1.5708563963519495,-3.5587941304981996e-05,2.3968450477696024e-05
461,1734172226,10160446,-0.00022382253539159514,0.25614099494543907,1.4272999803350757,-0.7071067735036851,-9.741802126702934e-05,-8.877550268873244e-05,0.7071067765860028,0,-1,-1.1746083394825746e-05,-1.57092792192568,-9.566942323857575e-05,-1.570808235798971,-7.135072817021637e-05,0.0
477,1734172226,26257991,-0.0001912577759244323,0.25614100018451835,1.427299984401324,-0.7071067747425649,-7.19165677184102e-05,-9.70810421788996e-05,0.7071067773090893,0,-1,0.0,-1.5708921591388147,-2.366701234990387e-05,-1.5708320776568812,-1.1746083394825746e-05,1.1984225238848012e-05
493,1734172226,42353630,-0.00015990469639344673,0.25614099823881276,1.4272999897815086,-0.7071067760804552,-5.4911619583442606e-05,-8.036851166935633e-05,0.7071067795932389,0,-1,-1.1746083394825746e-05,-1.5709040800677698,-8.374849428349762e-05,-1.570808235798971,-2.366701234990387e-05,0.0
