Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734174109,450279951,-0.00021410240477818,0.2561409951251873,1.4272999814054756,-0.7071067752217406,-0.00011428207884453165,-7.191144513628543e-05,0.7071067742596314,0,-1,1.1984225238848012e-05,-1.570916000996725,-0.00010759035219365387,-1.5708563963519495,1.1984225238848012e-05,-2.366701234990387e-05
15,1734174109,466140270,-0.0002523480865624395,0.2561410002164202,1.427299972127702,-0.7071067730831113,-0.00012247572549912896,-0.0001055274717426121,0.7071067708087929,0,-1,1.1984225238848012e-05,-1.5708921591388147,-5.990663637334137e-05,-1.570808235798971,3.5952674807049334e-05,-4.7985707418263246e-05
31,1734174109,481968879,-0.0002064494177095225,0.25614099536158524,1.4272999828588748,-0.7071067731476353,-0.00011423732190467613,-8.881494131988893e-05,0.7071067744198745,0,-1,2.3968450477696024e-05,-1.570916000996725,-5.990663637334137e-05,-1.5708444754229944,1.1984225238848012e-05,-2.366701234990387e-05
47,1734174109,498620510,-0.00020491744132230695,0.2561409977790372,1.4272999809550708,-0.7071067729530301,-0.00012266669151832113,-9.724431092048884e-05,0.707106772093422,0,-1,1.1984225238848012e-05,-1.5708683172809046,-8.374849428349762e-05,-1.5708320776568812,1.1984225238848012e-05,-2.366701234990387e-05
62,1734174109,514380693,-0.00021019698376401595,0.2561409951724475,1.4272999803464377,-0.7071067745311552,-0.00012694851217820148,-7.610375103566665e-05,0.7071067723508524,0,-1,1.1984225238848012e-05,-1.5708563963519495,-8.374849428349762e-05,-1.5708320776568812,3.5952674807049334e-05,-3.5587941304981996e-05
79,1734174109,530165195,-0.00020030072735652016,0.2561409955155808,1.4272999848270598,-0.7071067751246689,-9.31415192323298e-05,-7.619326546956801e-05,0.707106777008985,0,-1,2.3968450477696024e-05,-1.5708563963519495,-0.000119511281148732,-1.5708683172809046,1.1984225238848012e-05,-1.1746083394825746e-05
95,1734174109,546358346,-0.00019497921230283226,0.25614099792462297,1.4272999838926599,-0.7071067720111855,-0.00011436115203904619,-0.00010588702518563824,0.7071067731859073,0,-1,1.1984225238848012e-05,-1.5708563963519495,-7.18275653284195e-05,-1.5708683172809046,3.5952674807049334e-05,-1.1746083394825746e-05
111,1734174109,562151908,-0.00026373169476864644,0.25614100335176754,1.4272999693572412,-0.7071067711383134,-0.00012689843628809708,-0.0001267300444761805,0.7071067684915988,0,-1,-1.1746083394825746e-05,-1.570916000996725,-8.374849428349762e-05,-1.5708683172809046,3.5952674807049334e-05,-4.7985707418263246e-05
127,1734174109,578201055,-0.00016252991218965916,0.2561409927396625,1.42729998998241,-0.7071067724086791,-0.00010606073548177414,-8.04699632159016e-05,0.7071067774314469,0,-1,0.0,-1.5708802382098597,-7.18275653284195e-05,-1.5708444754229944,3.5952674807049334e-05,-2.366701234990387e-05
143,1734174109,594076633,-0.00017891506550899778,0.2561409959685733,1.4272999869932261,-0.7071067786262497,-8.465013636755578e-05,-4.227950253555197e-05,0.7071067774159755,0,-1,2.3968450477696024e-05,-1.5708802382098597,-0.00010759035219365387,-1.5708683172809046,0.0,-1.1746083394825746e-05
