Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173925,410475730,-0.00015438610391992947,0.25614102957720697,1.4272999848890573,-0.7071067792900139,2.085145165485215e-05,-0.00012253773850040694,0.7071067721580832,0,-1,-0.00014335313905888825,-1.5709646383868616,-1.1746083394825746e-05,-1.570808235798971,-7.135072817021637e-05,0.0
11,1734173925,426746606,-0.00018134924344440044,0.2561410259707153,1.4272999819093948,-0.7071067768280981,1.6698583946484176e-05,-0.00013511997578239933,0.7071067724378883,0,-1,-0.000119511281148732,-1.5709403196917933,-1.1746083394825746e-05,-1.5707719961749476,-4.7985707418263246e-05,-2.366701234990387e-05
27,1734173925,442808151,-0.000129883053244571,0.25614101941991413,1.4272999893647194,-0.7071067795213262,1.2590669409547132e-05,-0.00011427695630615392,0.7071067735054097,0,-1,-0.000119511281148732,-1.5709527174579065,-3.5587941304981996e-05,-1.5707600752459925,-2.366701234990387e-05,-3.5587941304981996e-05
43,1734173925,458346843,-0.00013542837957249815,0.256141022288852,1.4272999883726059,-0.7071067810482595,1.7266163597294566e-05,-8.40998129287968e-05,0.7071067761128228,0,-1,-0.000119511281148732,-1.5709527174579065,-4.7985707418263246e-05,-1.5707719961749476,-5.990663637334137e-05,-1.1746083394825746e-05
59,1734173925,474786996,-0.00017347855718288265,0.25614102750877277,1.4272999828076431,-0.7071067767225419,2.9325578384486357e-05,-0.00012249298135543683,0.7071067744326434,0,-1,-0.000119511281148732,-1.5709403196917933,-4.7985707418263246e-05,-1.570796314870016,-2.366701234990387e-05,-4.7985707418263246e-05
75,1734173925,490203619,-0.00019880050456651398,0.2561410341408661,1.427299977889216,-0.707106778849657,-2.2197265764263077e-07,-0.00013518179288064867,0.707106770601651,0,-1,-0.00015527406801396637,-1.57092792192568,-1.1746083394825746e-05,-1.5707719961749476,-8.32716571252945e-05,-2.366701234990387e-05
91,1734173925,506512165,-0.00015436755644716253,0.25614102263796656,1.4272999862448368,-0.7071067789134186,1.2821073978646891e-05,-0.00011404655168824627,0.7071067741463759,0,-1,-0.00014335313905888825,-1.57092792192568,0.0,-1.5707476774798792,-2.366701234990387e-05,-1.1746083394825746e-05
107,1734173925,522579193,-0.00021182071054349217,0.25614103018916157,1.4272999760568168,-0.7071067774811958,-2.1233579650104857e-05,-0.00014810120482245846,0.7071067690634328,0,-1,-0.00015527406801396637,-1.5709527174579065,0.0,-1.570808235798971,-4.7985707418263246e-05,-3.5587941304981996e-05
123,1734173925,538788080,-0.00017101052030329863,0.2561410224036635,1.4272999839622955,-0.7071067789832952,8.774976535387655e-06,-0.00010966327948459199,0.7071067748316616,0,-1,-0.000119511281148732,-1.5709646383868616,-2.366701234990387e-05,-1.5707719961749476,-7.135072817021637e-05,-7.18275653284195e-05
139,1734173925,554882287,-0.00020609611288824334,0.25614103527368487,1.4272999766177952,-0.7071067788015394,8.252154247821052e-06,-0.0001267076660643394,0.707106772170922,0,-1,-0.00015527406801396637,-1.5709403196917933,-3.5587941304981996e-05,-1.5707839171039026,-5.990663637334137e-05,-1.1746083394825746e-05
156,1734173925,571154594,-0.00015536316785007983,0.25614102728911586,1.4272999851624772,-0.7071067779040041,2.1250443594751617e-05,-0.00013090529093150218,0.7071067720326548,0,-1,-0.00013143221010381012,-1.5709403196917933,-2.366701234990387e-05,-1.5707600752459925,-3.5587941304981996e-05,0.0
171,1734173925,586710691,-0.0001629902025266523,0.2561410237119672,1.4272999843776655,-0.7071067777068173,-4.037665462979179e-06,-0.0001393346605210387,0.7071067709268744,0,-1,-0.000119511281148732,-1.5709040800677698,-1.1746083394825746e-05,-1.5707719961749476,-3.5587941304981996e-05,-2.366701234990387e-05
187,1734173925,602515935,-0.0001466815015726799,0.25614102358235724,1.4272999867538558,-0.7071067771254077,2.9511225905705003e-05,-0.00013073670358062004,0.7071067725459295,0,-1,-0.00014335313905888825,-1.570916000996725,-2.366701234990387e-05,-1.5707839171039026,-1.1746083394825746e-05,-3.5587941304981996e-05
204,1734173925,618953943,-0.0001273554825629442,0.2561410190877099,1.4272999896620053,-0.7071067795241994,2.1525801292503735e-05,-0.00010534182450224311,0.7071067746745572,0,-1,-0.00014335313905888825,-1.5709403196917933,-2.366701234990387e-05,-1.5707839171039026,-4.7985707418263246e-05,-2.366701234990387e-05
220,1734173925,634693384,-0.00017739005223712387,0.2561410282458038,1.4272999819807566,-0.7071067791496577,-1.6015536872758513e-07,-0.00012669060606083536,0.7071067718739948,0,-1,-0.00015527406801396637,-1.5709403196917933,-4.7985707418263246e-05,-1.5707600752459925,-3.5587941304981996e-05,-5.990663637334137e-05
236,1734173925,650836944,-0.0002317088726642445,0.2561410328508721,1.4272999725397053,-0.7071067789555409,-8.420937673554934e-06,-0.0001265220186672467,0.7071067720481725,0,-1,-0.00013143221010381012,-1.570916000996725,-2.366701234990387e-05,-1.5707839171039026,-9.519258608037262e-05,-5.990663637334137e-05
251,1734173925,666476488,-0.00017257937301661205,0.25614103002163885,1.4272999824721673,-0.7071067785667301,8.4378016931292e-06,-0.000135288563081395,0.7071067708138491,0,-1,-0.00013143221010381012,-1.570916000996725,-2.366701234990387e-05,-1.5707600752459925,-2.366701234990387e-05,-3.5587941304981996e-05
267,1734173925,682888507,-0.000145187141598147,0.2561410213720715,1.4272999875024375,-0.7071067786749837,8.375984520575672e-06,-0.00012692101075559046,0.7071067722577599,0,-1,-0.00014335313905888825,-1.5709646383868616,-3.5587941304981996e-05,-1.5707476774798792,-4.7985707418263246e-05,-3.5587941304981996e-05
