Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173170,462017297,5.237624401770771e-05,0.2561410011541152,1.427299996733526,-0.7071067806402338,8.476845225397408e-05,3.4405383001969177e-05,0.7071067758147869,0,-1,4.793690095539205e-05,-1.570808235798971,3.5762786865234375e-05,-1.570711914693014,-0.00013143221010381012,2.3968450477696024e-05
10,1734173170,477709054,5.355739413321909e-05,0.2561409997139847,1.4272999971979758,-0.7071067795640441,9.745726399803558e-05,2.171657127211734e-05,0.7071067757595302,0,-1,2.3968450477696024e-05,-1.5707839171039026,4.8160552978515625e-05,-1.5707600752459925,-0.00010711351503545075,1.1984225238848012e-05
26,1734173170,493965387,2.3694238514214036e-05,0.2561410007313992,1.427299997118783,-0.7071067811386131,8.879217136020322e-05,3.847385868496356e-05,0.7071067746129306,0,-1,2.3968450477696024e-05,-1.570796314870016,9.584426879882812e-05,-1.5707357565509241,-0.00010711351503545075,3.5952674807049334e-05
43,1734173170,509604454,3.398558859406622e-05,0.2561410006021414,1.42729999833516,-0.7071067807950863,7.195581037662088e-05,1.3163371405374016e-05,0.7071067777943418,0,-1,2.3968450477696024e-05,-1.5707839171039026,0.0,-1.570711914693014,-0.00010711351503545075,-1.1746083394825746e-05
58,1734173170,525421380,3.591584984010348e-05,0.25614099971398463,1.4272999977700118,-0.707106781694844,7.216383667273543e-05,-3.576855998954524e-06,0.7071067769868613,0,-1,2.3968450477696024e-05,-1.5707724730121058,1.1920928955078125e-05,-1.570711914693014,-9.519258608037262e-05,0.0
74,1734173170,541930437,4.922208750848313e-06,0.25614099978906285,1.4272999982975765,-0.7071067823213891,6.360551419651589e-05,-3.90871259670679e-06,0.707106777180188,0,-1,2.3968450477696024e-05,-1.570820156727926,0.0,-1.570711914693014,-0.00010711351503545075,1.1984225238848012e-05
90,1734173170,557265043,2.5869783194186722e-05,0.2561410017239737,1.4272999984754846,-0.7071067826394941,5.093908041827475e-05,1.7569022888049438e-05,0.7071067776805443,0,-1,2.3968450477696024e-05,-1.5707839171039026,0.0,-1.570723835621969,-8.32716571252945e-05,2.3968450477696024e-05
106,1734173170,573601245,5.288098846178172e-05,0.2561410002365917,1.4272999978937202,-0.7071067797398657,8.481320984407686e-05,8.78009947169313e-06,0.7071067774923009,0,-1,2.3968450477696024e-05,-1.5707839171039026,3.5762786865234375e-05,-1.5707357565509241,-0.000119511281148732,1.1984225238848012e-05
122,1734173170,590039730,6.401343024290386e-05,0.25614100328614353,1.42729999545164,-0.7071067829570356,6.802822464849962e-05,4.304277907452357e-05,0.7071067748336398,0,-1,2.3968450477696024e-05,-1.570808235798971,3.5762786865234375e-05,-1.570711914693014,-9.519258608037262e-05,1.1984225238848012e-05
138,1734173170,605492591,6.73703639287659e-05,0.25614100323781036,1.4272999962554196,-0.7071067825762429,6.782019869665429e-05,2.5976013626726507e-05,0.7071067760673356,0,-1,1.1984225238848012e-05,-1.5707724730121058,4.8160552978515625e-05,-1.5707357565509241,-8.32716571252945e-05,2.3968450477696024e-05
