Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173499,846280097,-0.00022965685108969529,0.2561410144340097,1.4272999767911332,-0.7071067821690603,1.7029139312684004e-05,-8.382995797086474e-06,0.7071067799492881,0,-1,-4.7985707418263246e-05,-1.5709646383868616,-1.1746083394825746e-05,-1.570723835621969,2.3968450477696024e-05,0.00015579492901451886
13,1734173499,862457752,-0.00012807331982694938,0.2561410049364875,1.4272999925999765,-0.7071067804950265,4.2362008782913055e-05,3.414578794450069e-05,0.7071067797846968,0,-1,-4.7985707418263246e-05,-1.5709765593158167,-1.1746083394825746e-05,-1.5706880728351038,2.3968450477696024e-05,0.00014381069922819734
29,1734173499,878806829,-0.00017977504128515123,0.25614101146562124,1.427299984927225,-0.7071067794210878,5.50508169867912e-05,2.116455509257727e-05,0.7071067804923145,0,-1,-3.5587941304981996e-05,-1.57092792192568,-1.1746083394825746e-05,-1.5707357565509241,1.1984225238848012e-05,0.00015579492901451886
45,1734173499,893971920,-0.0001681530786640814,0.25614101071642087,1.427299986990723,-0.7071067810404128,4.253059303685447e-05,2.5592584199480094e-05,0.7071067795904902,0,-1,-4.7985707418263246e-05,-1.5709765593158167,-2.366701234990387e-05,-1.570711914693014,0.0,0.00014381069922819734
61,1734173499,909887313,-0.00012013557726953717,0.2561410078398539,1.427299992748184,-0.7071067791990748,5.9557919718865126e-05,4.2619911012603733e-05,0.7071067793813803,0,-1,-5.990663637334137e-05,-1.5709527174579065,-2.366701234990387e-05,-1.5706999937640589,2.3968450477696024e-05,0.00015579492901451886
77,1734173499,926366806,-0.00014606007639899186,0.2561410112568058,1.4272999892795766,-0.7071067795773577,5.496130479002957e-05,2.993110118303686e-05,0.7071067800262717,0,-1,-3.5587941304981996e-05,-1.5709646383868616,3.5762786865234375e-05,-1.5707357565509241,3.5952674807049334e-05,0.00013182648399379104
93,1734173499,942116022,-0.0001533909215511917,0.25614100787189087,1.4272999892385574,-0.7071067810281875,3.428687067976509e-05,1.7304105351649197e-05,0.7071067803019098,0,-1,-5.990663637334137e-05,-1.5709403196917933,-1.1746083394825746e-05,-1.5707357565509241,0.0,0.00014381069922819734
109,1734173499,958404302,-0.0002115891844227439,0.2561410078755404,1.427299980874943,-0.7071067833778634,4.1544845596451445e-06,4.4123897083066935e-06,0.7071067789692603,0,-1,-5.990663637334137e-05,-1.57092792192568,2.384185791015625e-05,-1.5707476774798792,2.3968450477696024e-05,0.00014381069922819734
125,1734173499,974442720,-0.00016656892618256887,0.2561410106747478,1.4272999871150018,-0.7071067792787613,4.6559633514672334e-05,-4.1064904194904165e-06,0.707106781549544,0,-1,-5.990663637334137e-05,-1.5709527174579065,0.0,-1.5707357565509241,1.1984225238848012e-05,0.0001917476038215682
140,1734173499,990034103,-0.00015659964417303227,0.2561410059185759,1.4272999891825466,-0.707106780597285,4.233963049902877e-05,4.259753592083181e-05,0.7071067792251382,0,-1,-3.5587941304981996e-05,-1.5709527174579065,0.0,-1.5707600752459925,2.3968450477696024e-05,0.00017976337403524667
157,1734173500,6201505,-0.0001773462973682163,0.25614101587240284,1.4272999846591508,-0.7071067808939167,4.2423826086039394e-05,4.901263881913006e-07,0.7071067802063712,0,-1,-1.1746083394825746e-05,-1.5709403196917933,3.5762786865234375e-05,-1.570723835621969,0.0,0.00016777915880084038
173,1734173500,21982669,-0.0001985804947807606,0.25614100741258794,1.427299983347932,-0.7071067823097738,2.11594361875961e-05,2.1417341486330283e-05,0.7071067794223825,0,-1,-1.1746083394825746e-05,-1.5709403196917933,-1.1746083394825746e-05,-1.570711914693014,0.0,0.00014381069922819734
188,1734173500,38263082,-0.00014815479778949582,0.2561410154470811,1.42729998832217,-0.7071067793887312,5.917598965224991e-05,1.7287046639105405e-05,0.7071067802969057,0,-1,-4.7985707418263246e-05,-1.5709527174579065,-3.5587941304981996e-05,-1.5707476774798792,-1.1746083394825746e-05,0.00014381069922819734
205,1734173500,54032325,-0.00019572416725854803,0.25614100982383015,1.427299983325528,-0.7071067824247501,2.5458512289044586e-05,2.542400063049923e-05,0.7071067790329841,0,-1,-7.135072817021637e-05,-1.5709527174579065,-1.1746083394825746e-05,-1.5707600752459925,2.3968450477696024e-05,0.00015579492901451886
220,1734173500,70353507,-0.00015846373088935158,0.2561410100896179,1.427299988307592,-0.7071067812108325,3.847917856790366e-05,3.0015297332200568e-05,0.7071067794782416,0,-1,-2.366701234990387e-05,-1.570916000996725,1.1920928955078125e-05,-1.5706999937640589,3.5952674807049334e-05,0.00015579492901451886
237,1734173500,86077451,-0.00020270219022854296,0.2561410051053742,1.4272999827933222,-0.7071067805429182,3.800111513797335e-05,2.974013709997902e-05,0.7071067801836359,0,-1,-2.366701234990387e-05,-1.5709403196917933,1.1920928955078125e-05,-1.570723835621969,2.3968450477696024e-05,0.00016777915880084038
253,1734173500,102524995,-0.00019015301299143148,0.2561410144560971,1.4272999826924144,-0.7071067780798317,6.327216056173521e-05,4.51384174918247e-06,0.7071067814480487,0,-1,-1.1746083394825746e-05,-1.570916000996725,2.384185791015625e-05,-1.570723835621969,1.1984225238848012e-05,0.00015579492901451886
269,1734173500,118325471,-0.00016954813161954038,0.2561410129856633,1.4272999861116755,-0.7071067797519612,5.0622789449515414e-05,8.644332640833466e-06,0.7071067807562166,0,-1,-2.366701234990387e-05,-1.570916000996725,-4.7985707418263246e-05,-1.5707357565509241,0.0,0.0001917476038215682
285,1734173500,133797645,-0.00020767058421598122,0.25614100516999355,1.4272999823237886,-0.7071067820232005,2.5334678859684807e-05,3.402195386174136e-05,0.7071067790775695,0,-1,-2.366701234990387e-05,-1.57092792192568,-2.366701234990387e-05,-1.5707357565509241,3.5952674807049334e-05,0.00016777915880084038
301,1734173500,149893283,-0.00018747928869316093,0.25614100475171453,1.4272999851649206,-0.7071067797317488,4.6475238491032e-05,2.9740133584850233e-05,0.7071067804886138,0,-1,-8.32716571252945e-05,-1.57092792192568,-2.366701234990387e-05,-1.570723835621969,2.3968450477696024e-05,0.00016777915880084038
