Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173081,697643041,-0.00022310267532291495,0.256141028708931,1.4272999740369128,-0.7071067805359362,4.657137539161743e-05,-2.0987608142366076e-05,0.7071067799920536,0,-1,-0.00013143221010381012,-1.570916000996725,-4.7985707418263246e-05,-1.5706761519061487,4.793690095539205e-05,0.00014381069922819734
16,1734173081,713666200,-0.000141552405238207,0.2561410253034855,1.4272999865428937,-0.707106777261315,7.655754950469846e-05,-2.4763669863255244e-05,0.7071067805337602,0,-1,-0.000119511281148732,-1.5709403196917933,-4.7985707418263246e-05,-1.5706761519061487,1.1984225238848012e-05,0.00011984225420746952
31,1734173081,729866743,-0.00017698783594842168,0.2561410181454259,1.4272999836930735,-0.7071067814400853,3.400639057270213e-05,5.915750730337685e-07,0.7071067801150395,0,-1,-0.000119511281148732,-1.5709646383868616,-2.366701234990387e-05,-1.5706880728351038,2.3968450477696024e-05,8.388957940042019e-05
47,1734173081,746300697,-0.00018401104780425885,0.25614102658063864,1.4272999814653728,-0.7071067803511997,5.0741301728373265e-05,-1.6772925212267177e-05,0.7071067800023907,0,-1,-0.00013143221010381012,-1.5709646383868616,-5.990663637334137e-05,-1.570711914693014,1.1984225238848012e-05,9.58738019107841e-05
63,1734173081,761718750,-0.00013269050671976194,0.2561410198884342,1.427299988712294,-0.7071067776738112,7.217427727581409e-05,-1.228820271207323e-05,0.7071067809091022,0,-1,-0.000119511281148732,-1.5709403196917933,-2.366701234990387e-05,-1.5706880728351038,1.1984225238848012e-05,8.388957940042019e-05
79,1734173081,778319120,-0.00015030712904748778,0.2561410244217675,1.4272999858128756,-0.7071067791068735,5.5169329149013275e-05,-4.61966474960057e-05,0.7071067796049746,0,-1,-0.00014335313905888825,-1.5709527174579065,-1.1746083394825746e-05,-1.570711914693014,3.5952674807049334e-05,9.58738019107841e-05
96,1734173081,793982982,-0.00014628986697229468,0.25614102598612276,1.4272999863745655,-0.7071067786152042,6.776862843668216e-05,-1.6604337812883805e-05,0.7071067803154891,0,-1,-0.00013143221010381012,-1.57092792192568,-1.1746083394825746e-05,-1.5706880728351038,7.190534961409867e-05,0.00011984225420746952
112,1734173081,810245990,-0.00016076631348481313,0.2561410259211244,1.4272999842407792,-0.7071067766957567,8.033361119427514e-05,-2.10323653688285e-05,0.7071067808012365,0,-1,-0.00010711351503545075,-1.5709403196917933,-3.5587941304981996e-05,-1.5706999937640589,1.1984225238848012e-05,0.00011984225420746952
128,1734173081,826022386,-0.00018976680237045755,0.25614102197929667,1.4272999813807428,-0.7071067811557413,3.790627956505658e-05,-1.2412033197659303e-05,0.7071067800923859,0,-1,-0.00013143221010381012,-1.57092792192568,-1.1746083394825746e-05,-1.5706761519061487,4.793690095539205e-05,0.00013182648399379104
143,1734173081,841690063,-0.00021146645837602588,0.2561410241976878,1.4272999775806001,-0.7071067834922942,2.087895555799777e-05,-1.2491102301132102e-05,0.7071067784622231,0,-1,-0.00014335313905888825,-1.5709646383868616,-2.366701234990387e-05,-1.570711914693014,2.3968450477696024e-05,8.388957940042019e-05
