Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734172336,781250000,-0.00018274719888222875,0.25614099775154897,1.4272999875479695,-0.707106776574559,1.2685307262247348e-05,-3.772251866914316e-05,0.7071067846785457,0,-1,0.0,-1.5709040800677698,-3.5587941304981996e-05,-1.5707719961749476,-9.519258608037262e-05,8.388957940042019e-05
14,1734172336,797030687,-0.00016005067764478058,0.25614100190585093,1.427299989655335,-0.7071067780504945,1.6900188218371428e-05,-4.185813045342872e-05,0.7071067828817152,0,-1,2.3968450477696024e-05,-1.5709403196917933,-2.366701234990387e-05,-1.570796314870016,-8.32716571252945e-05,7.190534961409867e-05
30,1734172336,813548564,-0.0001640287534286831,0.2561409992955434,1.4272999894057483,-0.707106773803185,3.40511493537185e-05,-6.731482670427833e-05,0.7071067845459303,0,-1,0.0,-1.57092792192568,-3.5587941304981996e-05,-1.5707719961749476,-7.135072817021637e-05,4.793690095539205e-05
46,1734172336,829037904,-0.000218620194556107,0.25614099465875045,1.4272999821560282,-0.7071067767867579,8.381108383790134e-06,-4.19819604857096e-05,0.7071067842904026,0,-1,3.5952674807049334e-05,-1.5709646383868616,-7.18275653284195e-05,-1.5707476774798792,-0.000119511281148732,0.00013182648399379104
62,1734172336,844908714,-0.000194975675459874,0.2561409997139847,1.427299985467268,-0.7071067743479444,1.2516718140197438e-05,-6.322397387454737e-05,0.7071067850878721,0,-1,1.1984225238848012e-05,-1.57092792192568,-4.7985707418263246e-05,-1.5707600752459925,-0.000119511281148732,7.190534961409867e-05
78,1734172336,861504316,-0.00022602367548510627,0.2561409918645505,1.4272999814168426,-0.7071067751626907,-8.646219107617734e-06,-5.053516145760321e-05,0.707106785351732,0,-1,2.3968450477696024e-05,-1.57092792192568,-5.990663637334137e-05,-1.5707719961749476,-9.519258608037262e-05,0.00011984225420746952
95,1734172336,877106189,-0.00016781938254973287,0.2561409960594166,1.4272999897330785,-0.7071067785022337,8.487878588614435e-06,-2.5016451041733838e-05,0.7071067833773947,0,-1,1.1984225238848012e-05,-1.570916000996725,-5.990663637334137e-05,-1.5707719961749476,-7.135072817021637e-05,9.58738019107841e-05
111,1734172336,893227577,-0.00022146842602867507,0.25614099737247864,1.427299981393977,-0.707106776912968,-1.286090486895089e-05,-5.483936130176359e-05,0.707106783216648,0,-1,1.1984225238848012e-05,-1.57092792192568,-5.990663637334137e-05,-1.5707600752459925,-0.00010711351503545075,0.00011984225420746952
126,1734172336,908692598,-0.00017728935619379377,0.2561409977188811,1.4272999879439388,-0.7071067771831028,2.5222786791286094e-05,-3.3614409044670694e-05,0.7071067839411587,0,-1,2.3968450477696024e-05,-1.5709403196917933,-3.5587941304981996e-05,-1.5707719961749476,-0.00010711351503545075,0.000107858024421148
143,1734172336,924975395,-0.0001361991186992379,0.2561409967323318,1.4272999931748955,-0.7071067784872537,2.1131933147723014e-05,-2.0801766206768577e-05,0.7071067832641021,0,-1,-1.1746083394825746e-05,-1.5709527174579065,-3.5587941304981996e-05,-1.5707839171039026,-8.32716571252945e-05,9.58738019107841e-05
