Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734172526,979685306,-0.0001996010699963757,0.2561410259200869,1.4272999755912905,-0.7071067814403345,-3.8317601110676405e-05,-0.00011435071109796008,0.7071067706483707,0,-1,-8.32716571252945e-05,-1.5709040800677698,-8.374849428349762e-05,-1.570796314870016,-2.366701234990387e-05,5.992112710373476e-05
10,1734172526,995823621,-0.00018377438678957307,0.2561410240087568,1.4272999783526754,-0.7071067824604272,-3.819376990000355e-05,-0.00010575275310463937,0.7071067709731346,0,-1,-0.00014335313905888825,-1.5709040800677698,-0.00010759035219365387,-1.5708320776568812,1.1984225238848012e-05,2.3968450477696024e-05
27,1734172527,11793375,-0.00015826501173098995,0.2561410209799616,1.4272999846573087,-0.7071067819027783,-2.1312652007277702e-05,-9.734576214358512e-05,0.7071067734484447,0,-1,-0.00013143221010381012,-1.5708802382098597,-0.000119511281148732,-1.570808235798971,3.5952674807049334e-05,7.190534961409867e-05
42,1734172527,27435302,-0.00012502993528806471,0.2561410227382349,1.427299986861665,-0.7071067803132772,-2.7866656614502785e-07,-0.00011837974760030217,0.7071067721505347,0,-1,-8.32716571252945e-05,-1.5708683172809046,-0.000119511281148732,-1.570796314870016,1.1984225238848012e-05,4.793690095539205e-05
58,1734172527,43425798,-0.00014413167924305756,0.2561410151236987,1.4272999862280866,-0.707106781142105,-1.2860903777578755e-05,-8.017222673310763e-05,0.7071067765690429,0,-1,-9.519258608037262e-05,-1.5708683172809046,-9.566942323857575e-05,-1.5708563963519495,1.1984225238848012e-05,2.3968450477696024e-05
75,1734172527,59810876,-0.00019353994840076762,0.2561410224165564,1.4272999795066814,-0.707106782759247,-2.9888229722830845e-05,-8.868066863693947e-05,0.7071067734213128,0,-1,-0.00010711351503545075,-1.570916000996725,-0.00016767183412724762,-1.570820156727926,0.0,5.992112710373476e-05
90,1734172527,75507402,-0.00016059949878215104,0.25614102355657464,1.4272999837229488,-0.7071067821206167,-8.477632404407086e-06,-9.294011228931182e-05,0.7071067740937659,0,-1,-0.00013143221010381012,-1.5708802382098597,-0.000119511281148732,-1.570820156727926,1.1984225238848012e-05,4.793690095539205e-05
106,1734172527,91606855,-0.00019974626706801258,0.2561410259374396,1.4272999765215215,-0.7071067812061419,-4.2386076220071755e-05,-0.00011841918614330066,0.7071067699807478,0,-1,-0.00013143221010381012,-1.5708683172809046,-0.000119511281148732,-1.5708683172809046,1.1984225238848012e-05,4.793690095539205e-05
122,1734172527,107737779,-0.00015810440906981074,0.256141016447178,1.427299984280362,-0.7071067816428136,-2.988823144936345e-05,-8.872542748876681e-05,0.7071067745321314,0,-1,-0.00013143221010381012,-1.570916000996725,-9.566942323857575e-05,-1.5708563963519495,4.793690095539205e-05,7.190534961409867e-05
138,1734172527,123791694,-0.0001667688191518331,0.25614102194329486,1.4272999822108696,-0.7071067836921945,-2.538112853146576e-05,-8.44659857032034e-05,0.7071067731805258,0,-1,-0.00013143221010381012,-1.5708563963519495,-8.374849428349762e-05,-1.5708444754229944,-3.5587941304981996e-05,9.58738019107841e-05
154,1734172527,139854907,-0.0002001877557966736,0.25614102599046296,1.4272999766485956,-0.7071067797593642,-2.5420567198580313e-05,-0.00011823353913784216,0.7071067722720288,0,-1,-0.000119511281148732,-1.5708802382098597,-8.374849428349762e-05,-1.570820156727926,0.0,7.190534961409867e-05
170,1734172527,155803680,-0.0001463569467854328,0.2561410195038458,1.4272999859942204,-0.7071067835263931,-2.978677844153061e-05,-8.887163554836876e-05,0.707106772634472,0,-1,-9.519258608037262e-05,-1.5708802382098597,-9.566942323857575e-05,-1.570820156727926,1.1984225238848012e-05,3.5952674807049334e-05
186,1734172527,171581745,-0.00019310749831625413,0.25614101977921266,1.4272999787842735,-0.7071067809993983,-4.2430834137357675e-05,-0.00010126803004081943,0.7071067728491076,0,-1,-0.00010711351503545075,-1.570916000996725,-7.18275653284195e-05,-1.5708444754229944,0.0,5.992112710373476e-05
202,1734172527,187836408,-0.0001694086920844169,0.25614101752326196,1.4272999830314628,-0.707106781544997,-2.9764400663328044e-05,-8.86015966743428e-05,0.7071067746506984,0,-1,-0.00010711351503545075,-1.5708802382098597,-0.000119511281148732,-1.570820156727926,0.0,8.388957940042019e-05
218,1734172527,203697204,-0.0001497588261295421,0.2561410176951046,1.4272999863118354,-0.7071067783784954,-4.639561315335141e-06,-0.00010554472816965548,0.7071067761024286,0,-1,-0.00014335313905888825,-1.5708802382098597,-0.0001557509051721695,-1.5708444754229944,2.3968450477696024e-05,5.992112710373476e-05
234,1734172527,219378232,-0.00015817774438103282,0.25614102552356105,1.427299982793533,-0.7071067830709606,-4.2629458307176714e-06,-8.868066860744138e-05,0.707106773728412,0,-1,-9.519258608037262e-05,-1.5708802382098597,-9.566942323857575e-05,-1.570796314870016,2.3968450477696024e-05,7.190534961409867e-05
250,1734172527,235634088,-0.0002116762885458283,0.2561410273634722,1.4272999747294368,-0.7071067796052114,-2.5522017814738058e-05,-0.00011833498970251015,0.7071067724055566,0,-1,-0.00013143221010381012,-1.5708802382098597,-9.566942323857575e-05,-1.5708444754229944,-2.366701234990387e-05,4.793690095539205e-05
266,1734172527,251857519,-0.00014976847675447752,0.2561410221330295,1.4272999855063182,-0.707106781953288,-2.1312651996693823e-05,-0.00010577513175034734,0.7071067721872402,0,-1,-9.519258608037262e-05,-1.5709040800677698,-0.00010759035219365387,-1.5708320776568812,2.3968450477696024e-05,5.992112710373476e-05
282,1734172527,267457008,-0.0001916330463728635,0.2561410275836177,1.4272999758479201,-0.7071067771807397,-2.5589154829464298e-05,-0.00014369023531144158,0.7071067701297868,0,-1,-0.00010711351503545075,-1.570916000996725,-0.000119511281148732,-1.5708563963519495,1.1984225238848012e-05,5.992112710373476e-05
298,1734172527,283640384,-0.00017185453660774786,0.25614102260406313,1.427299982057403,-0.7071067820198224,-1.6907002106646477e-05,-9.294011229354773e-05,0.7071067740432561,0,-1,-0.00010711351503545075,-1.5708802382098597,-8.374849428349762e-05,-1.5708320776568812,1.1984225238848012e-05,2.3968450477696024e-05
314,1734172527,299884319,-0.00016030110268750613,0.25614101665628697,1.427299985576229,-0.7071067810340745,-3.8283284846098835e-05,-9.712048074803182e-05,0.7071067736329725,0,-1,-9.519258608037262e-05,-1.5709040800677698,-0.00010759035219365387,-1.570820156727926,3.5952674807049334e-05,3.5952674807049334e-05
330,1734172527,315849065,-0.00018020236286522414,0.2561410312849588,1.4272999781555544,-0.7071067829305461,-2.540350688590862e-05,-0.00011825059899526782,0.7071067690986074,0,-1,-0.00015527406801396637,-1.5708683172809046,-7.18275653284195e-05,-1.570820156727926,3.5952674807049334e-05,3.5952674807049334e-05
346,1734172527,331999063,-0.00014486252544338162,0.25614102363464547,1.4272999853129789,-0.7071067820167093,-1.7120346088885617e-05,-0.00011001219547923866,0.7071067715912389,0,-1,-9.519258608037262e-05,-1.5708802382098597,-7.18275653284195e-05,-1.5708320776568812,4.793690095539205e-05,4.793690095539205e-05
362,1734172527,347798347,-0.00011438218262875495,0.2561410174887516,1.4272999897815823,-0.7071067812466556,4.188800672911306e-06,-8.874780611615021e-05,0.7071067755447371,0,-1,-0.00013143221010381012,-1.5708683172809046,-0.00010759035219365387,-1.570808235798971,3.5952674807049334e-05,7.190534961409867e-05
378,1734172527,363866090,-0.0001809596673927977,0.2561410210359335,1.4272999796334283,-0.7071067830586955,-4.681410519626682e-05,-9.713241779137665e-05,0.7071067710933873,0,-1,-0.00013143221010381012,-1.5708802382098597,-0.000119511281148732,-1.5708563963519495,0.0,4.793690095539205e-05
394,1734172527,379578590,-0.0001286990936016507,0.25614101936383393,1.427299988788631,-0.7071067819682795,-8.544767959153561e-06,-9.300724780521889e-05,0.7071067742364677,0,-1,-0.00010711351503545075,-1.57092792192568,-0.000119511281148732,-1.5708320776568812,1.1984225238848012e-05,2.3968450477696024e-05
411,1734172527,395955801,-0.00016337863181617083,0.256141021571234,1.4272999838001383,-0.7071067827795955,-1.6951758310960633e-05,-8.451074166553704e-05,0.7071067743401008,0,-1,-0.000119511281148732,-1.5708921591388147,-0.000119511281148732,-1.5708320776568812,0.0,2.3968450477696024e-05
426,1734172527,412223815,-0.0001642092714637735,0.25614102159105334,1.4272999836756444,-0.7071067834748316,-3.815945450893953e-05,-8.877018391411539e-05,0.7071067722965096,0,-1,-0.00013143221010381012,-1.5708802382098597,-0.00013143221010381012,-1.570820156727926,-1.1746083394825746e-05,4.793690095539205e-05
442,1734172527,427574872,-0.00015416939488641164,0.2561410204907497,1.4272999848497505,-0.7071067803132548,-8.539448853389712e-06,-0.00010135242099114285,0.7071067747446541,0,-1,-0.00010711351503545075,-1.5708802382098597,-0.000119511281148732,-1.5708320776568812,1.1984225238848012e-05,7.190534961409867e-05
458,1734172527,443829536,-0.0001922662987853358,0.25614102502429803,1.427299978515718,-0.7071067790433959,-1.273175617421409e-05,-0.0001139740977689396,0.7071067740296945,0,-1,-0.00014335313905888825,-1.5708802382098597,-0.00010759035219365387,-1.570808235798971,2.3968450477696024e-05,5.992112710373476e-05
474,1734172527,459670543,-0.00020961367009239413,0.2561410241051645,1.427299975911798,-0.707106783330586,-4.240845528885632e-05,-9.272676795550678e-05,0.7071067716909102,0,-1,-0.000119511281148732,-1.570916000996725,-0.00010759035219365387,-1.570808235798971,-1.1746083394825746e-05,0.000107858024421148
490,1734172527,475957393,-0.0001893385897514967,0.25614101689088375,1.4272999802940867,-0.70710678073393,-4.6645518986552916e-05,-9.70533452376511e-05,0.7071067734401514,0,-1,-0.00010711351503545075,-1.5708921591388147,-0.00013143221010381012,-1.5708320776568812,0.0,5.992112710373476e-05
506,1734172527,491541385,-0.00014842790260058717,0.25614101348444357,1.4272999875759416,-0.7071067802966486,-1.2900343432701653e-05,-8.008803184672625e-05,0.707106777423322,0,-1,-9.519258608037262e-05,-1.5708683172809046,-0.000119511281148732,-1.570820156727926,0.0,4.793690095539205e-05
522,1734172527,507723331,-0.00014646020041296813,0.2561410194698391,1.4272999843573526,-0.7071067840845683,-3.809231855272654e-05,-8.870304810408405e-05,0.7071067716988179,0,-1,-0.00013143221010381012,-1.5708802382098597,-0.00010759035219365387,-1.570808235798971,4.793690095539205e-05,7.190534961409867e-05
538,1734172527,523765325,-0.0001762310395449066,0.25614101817269885,1.4272999816029779,-0.7071067817106541,-2.552733687228803e-05,-8.436453292355792e-05,0.7071067751689146,0,-1,-0.00010711351503545075,-1.5708921591388147,-0.00010759035219365387,-1.5708444754229944,0.0,5.992112710373476e-05
554,1734172527,539886951,-0.00016261043476604916,0.25614102380101356,1.4272999824619714,-0.7071067828680333,-2.1166443131340382e-05,-9.715479609552092e-05,0.7071067725138455,0,-1,-0.000119511281148732,-1.570916000996725,-0.000119511281148732,-1.570808235798971,3.5952674807049334e-05,7.190534961409867e-05
570,1734172527,555940866,-0.00018541370034170726,0.25614102157260926,1.427299980537036,-0.7071067804366912,-3.410291541673619e-05,-0.00010984360781172848,0.707106772582352,0,-1,-9.519258608037262e-05,-1.5709040800677698,-8.374849428349762e-05,-1.5708320776568812,2.3968450477696024e-05,7.190534961409867e-05
