Time,ROS secs,ROS nsecs,________p_x________,________p_y________,________p_z________,________q_x________,________q_y________,________q_z________,________q_w________,gripper_position,gripper_force,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0,1734173591,850369453,-0.0001451910246048226,0.2561410151183894,1.4272999882093769,-0.7071067781027544,2.1008102804108023e-05,-8.023423902757531e-05,0.7071067794062426,0,-1,-9.519258608037262e-05,-1.5708802382098597,-3.5587941304981996e-05,-1.570796314870016,-8.32716571252945e-05,5.992112710373476e-05
16,1734173591,865861177,-0.0001364541880485885,0.25614101225904123,1.427299989951216,-0.7071067768426205,3.3652157301536253e-05,-7.5682379399346e-05,0.7071067806795168,0,-1,-9.519258608037262e-05,-1.5709040800677698,-7.18275653284195e-05,-1.5707719961749476,-9.519258608037262e-05,4.793690095539205e-05
32,1734173591,882465124,-0.00014827935592329753,0.2561410151007857,1.4272999885174649,-0.707106775185345,2.515565069356011e-05,-0.00010946699485778103,0.7071067782670112,0,-1,-8.32716571252945e-05,-1.5709040800677698,-4.7985707418263246e-05,-1.5707719961749476,-7.135072817021637e-05,7.190534961409867e-05
47,1734173591,897717237,-0.00015937055709190295,0.25614101001518647,1.4272999878278927,-0.7071067769184417,1.2556352855929965e-05,-8.025661920949608e-05,0.7071067807886063,0,-1,-0.00010711351503545075,-1.570916000996725,-9.566942323857575e-05,-1.5707839171039026,-7.135072817021637e-05,8.388957940042019e-05
64,1734173591,914383888,-0.00017050204176664006,0.2561410128256547,1.4272999858198825,-0.707106776427336,2.948222768065682e-05,-7.142293919373493e-05,0.7071067817240219,0,-1,-8.32716571252945e-05,-1.5708802382098597,-3.5587941304981996e-05,-1.570808235798971,-3.5587941304981996e-05,8.388957940042019e-05
80,1734173591,930294036,-0.00016831810335314268,0.2561410171913753,1.4272999854247541,-0.7071067773341548,2.937033570735118e-05,-8.839357075691357e-05,0.7071067789040535,0,-1,-7.135072817021637e-05,-1.57092792192568,-3.5587941304981996e-05,-1.5707839171039026,-7.135072817021637e-05,8.388957940042019e-05
96,1734173591,946227312,-0.00016807973235034805,0.2561410172379319,1.4272999848024608,-0.7071067776700803,3.3966951936287765e-05,-7.570475965613565e-05,0.7071067798346097,0,-1,-9.519258608037262e-05,-1.5708802382098597,-8.374849428349762e-05,-1.5707719961749476,-4.7985707418263246e-05,5.992112710373476e-05
111,1734173591,962378263,-0.0001506330005687117,0.25614101147723195,1.4272999885982562,-0.7071067781770365,3.4135539400105525e-05,-5.867743290384856e-05,0.7071067809375152,0,-1,-8.32716571252945e-05,-1.5708802382098597,-3.5587941304981996e-05,-1.5707357565509241,-8.32716571252945e-05,7.190534961409867e-05
128,1734173591,978138208,-0.00011548471409134803,0.25614100896937614,1.4272999927395467,-0.707106777717209,4.227249214894773e-05,-5.054048011300529e-05,0.7071067815861207,0,-1,-0.00010711351503545075,-1.5708921591388147,-9.566942323857575e-05,-1.5707719961749476,-3.5587941304981996e-05,8.388957940042019e-05
143,1734173591,994237184,-0.00012896805892119928,0.2561410152918265,1.4272999900622596,-0.7071067761384406,5.053327429414194e-05,-7.566000176814907e-05,0.7071067803811907,0,-1,-9.519258608037262e-05,-1.5709403196917933,-7.18275653284195e-05,-1.5707719961749476,-9.519258608037262e-05,7.190534961409867e-05
159,1734173592,9883880,-0.00010162041517147143,0.25614101398222255,1.4272999924812324,-0.7071067764165213,5.487178872981615e-05,-8.008803190651493e-05,0.707106779292088,0,-1,-9.519258608037262e-05,-1.5709040800677698,-4.7985707418263246e-05,-1.5707719961749476,-4.7985707418263246e-05,5.992112710373476e-05
176,1734173592,25969266,-0.0001782371862711517,0.25614101586692134,1.4272999826019934,-0.7071067780053821,4.295570574870655e-06,-8.851740150169984e-05,0.7071067788142502,0,-1,-7.135072817021637e-05,-1.5709040800677698,-1.1746083394825746e-05,-1.5707719961749476,-8.32716571252945e-05,8.388957940042019e-05
